id,title,company,location,salary,work_type,description,requirements,skills
1,MLops Engineer,Trusting Social,Ho Chi Minh,You'll love it,Not specified,"We are looking for qualified MLops Engineer for the eKYC project, who will help us build up our digital identity verification products.
Your primary focus will be:
Developing and managing the backend system which encapsulates and provides control flow of various ML models.
Developing ML models and implementing novel solutions for various problems including fraud detection, face matching, OCR in computer vision.
Act as interfaces between product team, engineering team and data science team to ensure smooth integration of ML solutions.
Integrate ML models and ensure consistency in model interfaces and interaction as per product requirements.
Monitor and optimize system performance and resource co nsumption.
Manage development servers and environments.
Communicate with the product team, infrastructure team, engineering team and data science team to ensure consistency in requirement, development, integration, and deployment.
Optimize and deploy ""tiny"" ML solutions on limited computation power devices such as mobile devices and web platforms.
Having an opportunity to learn from production across many nations.
This position reports to the Lead data scientist.
(Optional) Have an opportunity to work under supervision of an experienced data scientist to:
Build eKYC components (object classification/detection, ocr, fraud detection, abnormal detection), using state-of-the-art methods
Develop ML models and provide solutions for acquisition, verification, validation, and fraud detection of user data","BS or MS in Computer Science or related fields
Having 1-3 years of experience in Data science and MLOps
Must be proficient in software design and software development.
Must be proficient in Python, scripting language. Experience with other programming languages (C++, Java, Javascript ...) is a plus
Must be proficient in Linux system, version control system (Git), virtualization and SW packaging tool (docker)
Great communication skills
Desired Skills:
Experience with ML framework: Tensorflow, Pytorch, Mxnet, ONNX.
Experience with managing data science and computer vision toolkit, such as JupyterHub, OpenCV... is a plus
Experience with working with databases and query language is a plus.
Familiar with MLOPs concept and toolkit is a plus
Basic understanding of machine learning techniques and algorithms
BS/MS in Computer Science with focus on machine learning is a plus","MLOps, Python, Linux, Docker, Data Science, TensorFlow, DataOps / MLOps Engineer, Financial Services"
2,"Senior DevOps Engineer (Cloud, AWS)",TymeX,Ho Chi Minh,You'll love it,Not specified,"We are seeking an experienced Senior DevOps Engineer (AWS) to join our team and play a crucial role in supporting our engineering and business operations. 
 The ideal candidate will be responsible for the implementation of tools and processes which enable rapid development and deployment of software.
 Your mission is to embrace continuous integration/deployment in a delivery pipeline that will perform automated quality checks, deploy cloud infrastructure and applications quickly, and provide operational tooling and metrics that can be consumed by development teams. To be successful, you will have a blend of development experience and operational experience that provides a good understanding of the developers you are working with, while also balancing critical systems uptime.
 Main responsibilities:
Contribute to developing continuous delivery, automation, and building pipelines to create an excellent experience for developers and customers
Identify and develop opportunities to improve our processes and tools for automation
Learn new skills and help foster a continuous delivery and cloud-first mindset
Manage your day-to-day workload and requests using agile practices as part of a team and community
Periodic after-hours on-call support is required with over-time
Ability to travel occasionally (up to 10% of the year)","Requirements:
Bachelor's or Master's degree in Computer Science, Information Technology, or a related field.
Experience in managing Linux operating systems
Experience using Docker and container orchestration, such as ECS/EKS is a plus
Knowledge of one or more of the following AWS CloudFormation/Terraform/CDK for infrastructure provisioning.
Knowledge of the source control and its related concepts (Gitlab/Git flow, Trunk base, branches, etc.).
Experience with CI/CD tools (such as Jenkins, TeamCity, AWS CodePipeline, CodeDeploy) or configuration management tools (such as Ansible, Chef, Puppet..)
Familiarity with at least one programming language (Python, Bash, etc.).
Knowledge of networking, firewalls, load balancers, high availability, etc..
Good skills in English and the ability to communicate effectively with business and technical teams.
Demonstrate good logical thinking and problem-solving skills.
Be curious and self-learning attitude.
Experience in SDLC and Agile methodologies.
Ability to work independently and as part of a team.
Nice to have:
Experience in the banking or finance industry
AWS certification(s) related to Advanced Networking
AWS Certified DevOps Engineer - Professional","AWS, DevOps, Cloud, Cloud-native Architecture, AWS CloudFormation, CI/CD, Cloud Engineer, Financial Services"
3,VTS - Chuyên Viên Quản Trị Dự Án (Agile/ Azure),Viettel Group,Ha Noi,You'll love it,Not specified,"Ecotek đang dẫn dắt Ecopark phát triển trở thành mô hình Thành phố thông minh kiểu mẫu của Việt Nam theo phê duyệt của Bộ Xây dựng. Để đạt được thành tích này, tập đoàn đã xác định chuyển đổi kỹ thuật số là một trong những mục tiêu quan trọng trong tương lai, được thực hiện thông qua việc số hóa và số hóa hoạt động quản lý vận hành, thiết lập mạng lưới đối tác dịch vụ kỹ thuật số và phát triển các dịch vụ cốt lõi.
Chúng tôi đã phát triển và triển khai phiên bản City O/S đầu tiên tại khu đô thị Ecopark và hiện đã sẵn sàng đưa sản phẩm cốt lõi của mình đến các dự án phát triển bất động sản và khu đô thị khác. City O/S đang đổi mới cách các nhà quản lý bất động sản và nhà phát triển bất động sản vận hành các khu đô thị ở Việt Nam và chúng tôi hiện đang tìm kiếm một người quản lý dự án hoặc điều phối viên dự án để chịu trách nhiệm quản lý nhiều dự án.
Mô tả công việc:
Xây dựng và duy trì mối quan hệ khách hàng, hỗ trợ hậu mãi, upsell/cross-sell dịch vụ
Tiếp nhận yêu cầu từ khách hàng, phân tích nghiệp vụ, phối hợp với team kỹ thuật đưa giải pháp phù hợp.
Lập kế hoạch triển khai dự án, bao gồm timeline, nguồn lực, ngân sách, rủi ro và mục tiêu cụ thể.
Phân tích nhu cầu khách hàng, đề xuất và trình bày giải pháp phần mềm/dịch vụ tương ứng.
Thực hiện tư vấn, báo giá, demo sản phẩm, hỗ trợ đàm phán và ký kết hợp đồng.
Đồng hành cùng bộ phận kinh doanh trong việc xây dựng mối quan hệ dài hạn với khách hàng, triển khai chính sách hậu mãi, chăm sóc và gia tăng giá trị hợp đồng.
Thực hiện nội dung giới thiệu sản phẩm, proposal, hồ sơ năng lực hoặc bản chào thầu.","Tư duy logic tốt, tư duy hướng giải pháp, tư duy phản biện
Kỹ năng giao tiếp, đàm phán, thuyết trình giải pháp tốt.
Tối thiểu 2–3 năm kinh nghiệm ở vị trí quản lý dự án trong lĩnh vực CNTT, phần mềm hoặc điện nhẹ.
Có kinh nghiệm làm việc trực tiếp với khách hàng.
Có kỹ năng phân tích yêu cầu khách hàng và chuyển hóa thành kế hoạch kỹ thuật cụ thể.
Tham gia quá trình UAT, thực hiện thủ tục nghiệm thu, hỗ trợ hoàn thiện hồ sơ dự án.
Có tư duy dịch vụ: đặt trải nghiệm và nhu cầu khách hàng lên hàng đầu.
Hiểu và tham gia quy trình bán hàng, từ tiếp cận – tư vấn – chốt deal – hậu mãi – mở rộng hợp đồng.
Kỹ năng tổng hợp, viết tài liệu, báo cáo dự án rõ ràng.
Có kỹ năng giao tiếp bằng tiếng Anh","Project Management, Business Analysis, Presale, Project Manager, IT Services and IT Consulting"
4,VTS - Tư Vấn Giải Pháp - Presales Engineer,Viettel Group,Ha Noi,You'll love it,Not specified,"Gia nhập “vũ trụ” công nghệ Viettel, nơi bạn không chỉ được “đắm chìm” trong hàng loạt công nghệ xịn xò như Big Data, AI, IoT, AR/VR, Cloud, Blockchain… mà còn được trao cơ hội thực hiện sứ mệnh quan trọng: “Chung tay cùng Chính phủ kiến tạo – Chính phủ số”, đồng hành với doanh nghiệp và người dân giải quyết các vấn đề cấp bách của xã hội, hướng tới một cuộc sống tốt đẹp hơn cho mọi người.
Tại VTS (Tổng Công ty Giải pháp Doanh nghiệp Viettel), bạn sẽ được hiện thực hóa những ý tưởng táo bạo, tham gia vào các dự án công nghệ hàng đầu và phát triển giải pháp đột phá cho tương lai số. Đây chính là nơi khơi dậy đam mê, thúc đẩy sáng tạo và chắp cánh cho mọi ước mơ công nghệ của bạn. Sẵn sàng trở thành “ngôi sao sáng” trên hành trình chuyển đổi số và cùng Viettel tạo nên dấu ấn trong cuộc cách mạng công nghiệp 4.0? Let’s go!
Bạn sẽ làm gì?
Xây dựng, trình bày các giải pháp CNTT dựa trên nhu cầu của khách hàng 
Hiểu rõ các sản phẩm dịch vụ đang kinh doanh phục vụ tư vấn khách hàng 
Tiếp xúc,  khảo sát, tổng hợp và phân tích sơ bộ yêu cầu khách hàng để xây dựng, tư vấn và trình bày giải pháp; 
Phối hợp cùng AM xúc tiến để giới thiệu, trình bày sản phẩm/dịch vụ cho khách hàng; 
Lập, tư vấn cho khách hàng về chi phí dự án theo định mức quy định pháp luật; 
Xây dựng tài liệu tư vấn dưới sự hướng dẫn của người có kình nghiệm 
Xây dựng hồ sơ kỹ thuật tham dự thầu dự án (đối với các dự án có quy mô nhỏ 
Phối hợp với các đơn vị chuyên môn về sản phẩm, công nghệ, triển khai để cập nhật, đồng bộ các thông tin thay đổi trong văn bản quy định của nhà nước ảnh hưởng tới sản phẩm, giải pháp do Viettel cung cấp cho khách hàng hàng.","Bằng cấp: Tốt nghiệp Đại học (loại Khá trở lên) chuyên ngành CNTT, Điện tử Viễn thông, Khoa học Máy tính, Toán Tin Ứng dụng, Khoa học dữ liệu hoặc tương đương.
Ngoại ngữ: Đọc hiểu tài liệu tiếng Anh ngon lành. Ưu tiên có chứng chỉ TOEIC 550+ (hoặc IELTS, TOEFL tương đương).
Kiến thức, kinh nghiệm:
Có tối thiểu 06 tháng kinh nghiệm tại vị trí ứng tuyển. 
Kỹ năng giao tiếp, thuyết trình, thuyết phục tốt, duy trì phát triển các mối quan hệ 
Kỹ năng lập bảng biểu, kế hoạch, đề xuất quy trình, checklist 
Kỹ năng tìm hiểu, nghiên cứu, phân tích so sánh, đánh giá giải pháp công nghệ kỹ thuật, quản lý thông tin sản phẩm CNTT 
Kỹ năng tư vấn giải pháp, lựa chọn giải pháp kỹ thuật phù hợp với nhu cầu của khách hàng.
Tinh thần: Năng động, sẵn sàng học hỏi, dám đương đầu thử thách và luôn hỗ trợ đồng đội.","Presale, Business Analysis, Salesforce, Pre-sales Engineer, Telecommunication"
5,"VHT - Embedded Software Engineer (Linux, C++)",Viettel Group,Ha Noi,"650 - 2,200 USD",Not specified,"Với hơn 1200 nhân sự chất lượng cao , Tổng Công ty Công Nghiệp Công Nghệ Cao Viettel (VHT) trực thuộc Tập đoàn Công nghiệp - Viễn thông Quân, đã và đang trở thành nơi hội tụ của nhiều Tiến sỹ, Thạc sỹ được đào tạo tại các Quốc gia phát triển như Mỹ, Pháp, Anh, Hàn Quốc, Nhật Bản,...
Hướng tới sứ mệnh tạo ra các sản phẩm khí tài quân sự và dân sự Made-in-Vietnam, Made-by-Vietnamese, tiến tới mục tiêu nắm giữ công nghệ lõi, VHT tập trung nghiên cứu phát triển các hệ thống chỉ huy và điều khiển, radar, thiết bị thông tin, hệ thống chỉ thị mục tiêu hải đảo, các hệ thống tác chiến điện tử, mô hình mô phỏng tập trận, các hệ thống cảnh giới quang điện tử...đi kèm với các sản phẩm thiết bị mạng viễn thông như hệ thống truy cập di động, cố định, các thiết bị truyền dẫn, hệ thống mạng lõi và các thiết bị Chip, thiết bị Y tế, camera… nhằm tăng cường khả năng an ninh quốc gia, quốc phòng, bảo vệ biên giới và lãnh thổ Việt Nam và từ đó hiện thực hóa tham vọng để trở thành “Tổ hợp Công nghiệp Quốc phòng” tầm cỡ trong khu vực và trên thế giới.
Mô tả công việc:
Tham gia phân tích yêu cầu và thiết kế chức năng, thiết kế module cho hệ thống nhúng.
Nghiên cứu phát triển driver, ứng dụng cho các tính năng của sản phẩm.
Lập trình, kiểm thử chức năng theo yêu cầu thiết kế quản lý chất lượng đảm bảo chất lượng hệ thống.
Xây dựng bài đo, phương pháp đánh giá; phương pháp debug lỗi trong quá trình lập trình, kiểm thử sản phẩm.","Tốt nghiệp Đại học chính quy loại Khá trở lên chuyên ngành: Công nghệ thông tin, Điện tử viễn thông,...hoặc các chuyên ngành kỹ thuật khác liên quan.
Trình độ tiếng Anh tương đương tối thiểu 550 điểm Toeic.
Có tối thiểu 02 năm kinh nghiệm liên quan đến vị trí ứng tuyển.
Có kiến thức nền tảng về kỹ thuật vi xử lý và kỹ thuật điện tử (điện tử tương tự, điện tử số, mạch logic...), kiến trúc máy tính, hệ điều hành, kỹ thuật lập trình.
Sử dụng tốt ít nhất 01 công cụ lập trình nhúng cho vi điều khiển, vi xử lý cao cấp (ARM, DSP, ASIC).
Sử dụng tốt ngôn ngữ lập trình C/C++. 
Có kinh nghiệm làm việc trên hệ điều hành Linux.
Có kinh nghiệm lập trình ngoại vi, giao tiếp bộ nhớ, giao tiếp số (UART/SPI/I2C/CAN...).","Embedded, C++, Linux, C language, Embedded Engineer, Telecommunication"
6,Quality Assurance Manager (QAM),Viettel Software Services (A Member of Viettel Group),Ha Noi,You'll love it,Not specified,"Xây dựng khung quy trình công ty và chủ trì cải tiến hệ thống quy trình đặc biệt quy trình sản xuất phần mềm cho OS theo các công nghệ, mô hình, phương pháp mới (DevSecOps, Design Thinking, Shiftleft Testing, CICD, Agile…); theo thực tế áp dụng và ý kiến Khách hàng.
Đưa ra các mục tiêu, chương trình hành động để nâng cao mức độ tuân thủ quy trình như đánh giá nội bộ, số hóa quy trình.
Định nghĩa và triển khai thực tế các hoạt động đảm bảo chất lượng sản phẩm theo yêu cầu của Khách hàng, nội bộ
Đo đạc, đánh giá, phân tích các số liệu quy trình, chất lượng, tiến độ dự án; từ đó đưa ra các nguy cơ , xu hướng, vấn đề và đề xuất quy trình, chất lượng
Quản lý nhân sự QA, đào tạo và định hướng công việc cho nhân sự QA
Định hướng công cụ ứng dụng đảm bảo Quản lý chất lượng bao gồm yêu cầu phát triển công cụ và các công cụ thương mại như Jira, SVN, Power BI...","Tốt nghiệp đại học về các lĩnh vực Công nghệ thông tin, Điện tử viễn thông
Ít nhất 5 năm kinh nghiệm tại vị trí QA (Quality Assurance) trong lĩnh vực phát triển phần mềm, trong đó ít nhất 3 năm ở vị trí quản lý
Đã tham gia triển khai ít nhất 1 trong các tiêu chuẩn CMMi, ISO
Có khả năng tìm hiểu, nghiên cứu để làm chủ/ triển khai áp dụng các quy trình quản lý sản xuất tại đơn vị như Agile, CICD
Đọc hiểu tài liệu tiếng Anh tốt, giao tiếp ở mức cơ bản
Ưu tiên có các chứng chỉ quốc tế liên quan như PSM, CSQA, Lead Auditor...
Ưu tiên có thêm kinh nghiệm quản lý nhóm CSKH, tiếp nhận phản ánh CNTT
Tư vấn bất cứ vùng quy trình nào theo mô hình tổ chức đơn vị và yêu cầu SLA
Phân tích, thẩm định số liệu chất lượng
Sử dụng thành thạo các công cụ, phần mềm của công ty ( Microsoft, Dashboard, Power BI, Confluence, Jira, SVN...)","PQA, Team Management, QA QC, ISO 27001, IT Audit, Manager, IT Services and IT Consulting, Software Development Outsourcing, Software Products and Web Services"
7,Platform Manager (CDN ecosystems),DatVietVAC,Ho Chi Minh,You'll love it,Not specified,"Xây dựng khung quy trình công ty và chủ trì cải tiến hệ thống quy trình đặc biệt quy trình sản xuất phần mềm cho OS theo các công nghệ, mô hình, phương pháp mới (DevSecOps, Design Thinking, Shiftleft Testing, CICD, Agile…); theo thực tế áp dụng và ý kiến Khách hàng.
Đưa ra các mục tiêu, chương trình hành động để nâng cao mức độ tuân thủ quy trình như đánh giá nội bộ, số hóa quy trình.
Định nghĩa và triển khai thực tế các hoạt động đảm bảo chất lượng sản phẩm theo yêu cầu của Khách hàng, nội bộ
Đo đạc, đánh giá, phân tích các số liệu quy trình, chất lượng, tiến độ dự án; từ đó đưa ra các nguy cơ , xu hướng, vấn đề và đề xuất quy trình, chất lượng
Quản lý nhân sự QA, đào tạo và định hướng công việc cho nhân sự QA
Định hướng công cụ ứng dụng đảm bảo Quản lý chất lượng bao gồm yêu cầu phát triển công cụ và các công cụ thương mại như Jira, SVN, Power BI...","Tốt nghiệp đại học về các lĩnh vực Công nghệ thông tin, Điện tử viễn thông
Ít nhất 5 năm kinh nghiệm tại vị trí QA (Quality Assurance) trong lĩnh vực phát triển phần mềm, trong đó ít nhất 3 năm ở vị trí quản lý
Đã tham gia triển khai ít nhất 1 trong các tiêu chuẩn CMMi, ISO
Có khả năng tìm hiểu, nghiên cứu để làm chủ/ triển khai áp dụng các quy trình quản lý sản xuất tại đơn vị như Agile, CICD
Đọc hiểu tài liệu tiếng Anh tốt, giao tiếp ở mức cơ bản
Ưu tiên có các chứng chỉ quốc tế liên quan như PSM, CSQA, Lead Auditor...
Ưu tiên có thêm kinh nghiệm quản lý nhóm CSKH, tiếp nhận phản ánh CNTT
Tư vấn bất cứ vùng quy trình nào theo mô hình tổ chức đơn vị và yêu cầu SLA
Phân tích, thẩm định số liệu chất lượng
Sử dụng thành thạo các công cụ, phần mềm của công ty ( Microsoft, Dashboard, Power BI, Confluence, Jira, SVN...)","PQA, Team Management, QA QC, ISO 27001, IT Audit, Manager, IT Services and IT Consulting, Software Development Outsourcing, Software Products and Web Services"
8,Bridge Project Manager (BrSE/ IT Communicator),Vitalify Asia,Ho Chi Minh,You'll love it,Not specified,"Xin chào and こんにちは！, chúng tôi là Vitalify Asia, một công ty IT có trụ sở tại Nhật Bản và hoạt động tại Thành phố Hồ Chí Minh từ năm 2008.
Chúng tôi đang mở rộng hoạt động kinh doanh và tuyển dụng cho vị trí BPM (Bridge Project Manager), dành cho cả cấp độ senior và junior.
 BPM là một vai trò độc đáo tại VFA, kết hợp giữa BrSE/ IT Communicator và Quản lý Dự án, dựa trên triết lý của chúng tôi. Vai trò này bao gồm giao tiếp bằng ngoại ngữ và quản lý dự án.
 Những kỹ năng quan trọng cho vị trí này bao gồm khả năng hiểu biết về kinh doanh và kỹ năng giao tiếp. Nếu bạn có tiềm năng, chúng tôi sẽ đào tạo, ngay cả khi bạn chưa có kinh nghiệm trước đó.
 Chúng tôi hy vọng đây sẽ là cơ hội tuyệt vời cho sự phát triển của bạn.
 JOB DESCRIPTION
- Joining a real DevOps (Healthcare/Global Market) project as a professional BPM.
+ Healthcare, Fintech, Startup, Games, AR/VR, and AI.
+ DevOps, Agile as our standard, and Enterprise Waterfall projects.
+ We usually work with product owners directly as per our policy.
- Discussing requirement/schedule/system design with Japanese product owner directly.
- Reporting process of project daily, weekly and monthly
- Manage project estimation with the team.","SKILL & EXPERIENCE REQUIREMENTS:
- Experience Project Management or experience leading projects (PL, BrSE, IT comm etc...) within the past few years.
- Experience in programming with any programming language is a plus.
- Communication smoothly in Japanese (N2〜 level)
- Communication skills in simple English (Chatting & Talking)
- Having a sense of recognizing the issue & suggesting Kaizen plan.
- Experience in creating System Design Documents, Development and Testing Plans is a plus.
- Logical thinking & explanation skill based on factual data or numbers
- Passion to learn hard, and become a high-level BPM, PMO, PM Specialist in short-term","Bridge Project Management, Japanese, Agile, Project Management, DevOps, Bridge System Engineer (BrSE), Software Development Outsourcing"
9,"Senior Process Quality Assurance (PQA, QA QC)",VNDIRECT,Ha Noi,Very attractive!!!,Not specified,"1. Thiết kế & Quản trị khung kiểm soát dự án
Xây dựng, vận hành và tối ưu hệ thống quản lý quy trình SDLC.
Phối hợp Bộ phận Quản trị Hệ thống (Jira Admin) cấu hình workflow, trường tùy chỉnh, báo cáo.
2. Giám sát & Đánh giá tuân thủ
Giám sát hoạt động dự án để phát hiện sớm các vấn đề.
Thực hiện audit định kỳ/đột xuất; lập khuyến nghị và theo dõi kế hoạch khắc phục.
3. Quản lý rủi ro dự án
Phối hợp Quản lý dự án xác định rủi ro, đề xuất và giám sát biện pháp phòng ngừa/khắc phục.
Đảm bảo quy trình đáp ứng ISO 9001, ISO 27001, CMMI, ITIL và quy định pháp luật.
4. Báo cáo & Cải tiến liên tục
Tổng hợp báo cáo chất lượng dự án tuần/tháng cho Ban Lãnh đạo.
Phân tích nguyên nhân gốc rễ, đề xuất giải pháp Kaizen/PDCA và tự động hóa quy trình khi khả thi.
5. Hỗ trợ & Đào tạo đội ngũ
Đào tạo thành viên dự án về quy trình, công cụ và kiểm soát chất lượng.
Xây dựng và cập nhật định kỳ tài liệu e-learning.","Tốt nghiệp đại học trở lên.
Tối thiểu 3 năm kinh nghiệm tại vị trí tương đương.
Có kinh nghiệm triển khai và giám sát quy trình trong tổ chức.
Có khả năng hướng dẫn, đào tạo và hỗ trợ đơn vị thực hiện quy trình.
Kinh nghiệm xây dựng công cụ giám sát, đánh giá hiệu quả vận hành.
Khả năng phân tích dữ liệu để đo lường và cải tiến quy trình.
Sử dụng thành thạo công cụ báo cáo (Excel nâng cao, Power BI, Tableau, SQL).
Kỹ năng sử dụng công cụ quản lý và giám sát quy trình.
Thành thạo các công cụ BPM (Bizagi, Camunda, Visio) để thiết kế và theo dõi quy trình.
Sử dụng thành thạo các nền tảng quản lý công việc (Jira, Confluence, ServiceNow).
Am hiểu về các hệ thống giám sát hiệu suất (KPI, OKR).
Ưu tiên có các chứng chỉ chất lượng: ISO 9001, ISO 27001, CSQA, Lean Six Sigma,...
Có tố chất và tư duy phù hợp với hệ giá trị cốt lõi của công ty .","PQA, QA QC, Tester, ISO 27001, IT Audit, Governance, Risk & Compliance, Test Coordinator / QAQC Coordinator, Banking, IT Services and IT Consulting, Securities & Investment, Financial Services"
10,"Hybrid - Ruby On Rails Developer (Ruby, SQL)",MEALSUITE,Ho Chi Minh,You'll love it,Not specified,"Trung tâm Công nghệ thông tin là đơn vị xây dựng, triển khai, duy trì các hệ thống phần mềm, số hóa các quy trình thuộc lĩnh vực quản trị doanh nghiệp (tài chính, tài sản, kho, mua sắm, nhân sự...) trong Tập đoàn, triển khai các công cụ phần mềm hỗ trợ nghiệp vụ cho các đơn vị trực thuộc. Đồng thời, trung tâm cũng nghiên cứu và triển khai các giải pháp ERP nhằm nâng cao năng lực quản trị, nâng cao hiệu quả sử dụng tài nguyên (bao gồm cả tài nguyên con người), nhất quán về cách thức quản lý và đảm bảo tính tuân thủ của Viettel trên toàn cầu. 
Phát triển backend (sử dụng NodeJS/Java/PHP), đảm bảo đáp ứng đúng các yêu cầu nghiệp vụ.
Phối hợp với các bộ phận liên quan để làm rõ yêu cầu kỹ thuật, xây dựng kiến trúc hệ thống và tích hợp dữ liệu.
Tham gia viết unit test, kiểm thử chức năng và xử lý lỗi trong quá trình triển khai.
Deploy code trên server test và production.
Giám sát và đảm bảo hệ thống vận hành ổn định, tối ưu.
Nghiên cứu và đề xuất cải tiến hiệu năng, kiến trúc hệ thống, công nghệ mới nhằm nâng cao chất lượng sản phẩm, tối ưu hóa hệ thống để xử lý dữ liệu lớn.
Các công việc khác theo phân công của quản lý","Tốt nghiệp Đại học loại khá trở lên chuyên ngành CNTT, KHMT hoặc các ngành liên quan.
TOIEC >=550 hoặc tương đương.
Có ít nhất 3 năm kinh nghiệm lập trình backend (sử dụng NodeJS/Java/PHP).
Có kiến thức và tư duy lập trình hướng đối tượng (OOP).
Có hiểu biết về CI/CD
Có kiến thức về cơ sở dữ liệu.
Có kiến thức về an toàn thông tin
Có hiểu biết về quy trình phát triển phần mềm theo mô hình Agile/Scrum.
Ưu tiên ứng viên có kinh nghiệm tích hợp hệ thống và triển khai ứng dụng trên nền tảng cloud (AWS, GCP,...).","NodeJS, Java, PHP, OOP, CI/CD, Backend Developer, Telecommunication"
